Users,Model,Rating
CarDekho,Seltos,4.5
CarWale,Seltos,4.5
AutoCar,Seltos,4.5
MouthShut,Seltos,3.4
US.News,Seltos,4.2
HT auto,Seltos,4
CarsGuide,Seltos,7.9
Edmunds,Seltos,3.8
91Wheels,Seltos,4.2
CarWale,Creta,4.7
Spinny ,Creta,4
91Wheels,Creta,4.2
MouthShut,Creta,3.5
HT auto,Creta,4.5
MotorBeam,Creta,4.9
AutoDeal,Creta,3.9
Droom,Creta,4.9
AutoDeal,Creta,3.9
CarDekho,Brv,4.6
CarWale,Brv,4.2
MouthShut,Brv,4
MotorBeam,Brv,4.9
91Wheels,Brv,4.4
AutoDeal,Brv,3.9
autoindustriya,Brv,4
CarDekho,Captur,4.6
CarWale,Captur,4.3
carwow,Captur,3
drive.com,Captur,3.7
Auto Express,Captur,4
Parkers,Captur,3.8
AutoCar,Captur,3.5
carexpert,Captur,3.9
carbuyer,Captur,4.3
CarDekho,Kicks,4.3
AutoCar,Kicks,4
CarWale,Kicks,4.4
car&driver,Kicks,3.3
US.News,Kicks,3.9
Edmunds,Kicks,3.6
MouthShut,Kicks,2.5
CarWale,Nano Genx,4.4
MouthShut,Nano Genx,3
CarDekho,Nano Genx,3.2
CarWale,Terrano,3.7
CarDekho,Terrano,4.4
MouthShut,Terrano,3.6
91Wheels,Terrano,3.3
india blue book,Terrano,3.5
overdrive,Terrano,4
CarDekho,Duster,4.2
MouthShut,Duster,3.7
topgear,Duster,4.5
whatcar,Duster,3
carwow,Duster,3
91Wheels,Duster,4.1
autoexpress,Duster,3.5
Parkers,Duster,4.4
heycar.co.uk,Duster,3
AutoCar,Duster,4
vanarama,Duster,4
CarWale,Gypsy,4.5
CarDekho,Gypsy,4.3
zigwheels,Gypsy,3.7
MouthShut,Gypsy,4
CarDekho,Platinum Etios,4.2
CarWale,Platinum Etios,4.5
overdrive,Platinum Etios,4
bookyourcar,Platinum Etios,5
MouthShut,Platinum Etios,3.7
CarDekho,Linea ,2.8
CarWale,Linea ,3.6
MouthShut,Linea ,3.5
91Wheels,Linea ,4.3
overdrive,Linea ,3.5
CarDekho,Verna,4
CarWale,Verna,4.6
teambhp,Verna,5
zigwheels,Verna,4.5
AutoCar,Verna,4
MouthShut,Verna,3.9
91Wheels,Verna,4.1
HT auto,Verna,4
overdrive,Verna,5
MotorBeam,Verna,4.9
Sidharth,Verna,4.3
Varun,Verna,4.8
Yash,Verna,4.5
CarDekho,Vento,4.5
CarWale,Vento,4.6
zigwheels,Vento,4.3
MouthShut,Vento,3.3
91Wheels,Vento,4.2
appsumo,Vento,4.9
HT auto,Vento,3.5
drive.com,Monte Carlo,3.6
topgear,Monte Carlo,3.5
drivelife.co.nz,Monte Carlo,4
whichcar,Monte Carlo,4.1
carexpert,Monte Carlo,4.1
CarDekho,Sunny,4.5
CarWale,Sunny,3.7
MouthShut,Sunny,3.5
zigwheels,Sunny,4.2
91Wheels,Sunny,4.6
CarDekho,Ciaz,4.5
CarWale,Ciaz,4.3
AutoCar,Ciaz,4
zigwheels,Ciaz,4.4
Sidharth,Ciaz,4
Varun,Ciaz,3.5
Yash,Ciaz,4
MouthShut,Ciaz,4
91Wheels,Ciaz,4.4
overdrive,Ciaz,4
HT auto,Ciaz,3.5
CarDekho,Rapid ,4.4
CarWale,Rapid ,4.3
zigwheels,Rapid ,4.5
MouthShut,Rapid ,3.2
Sidharth,Rapid ,3.8
Yash,Rapid ,3.9
Varun,Rapid ,4.1
Varun,Yaris,3.2
Sidharth,Yaris,3
Yash,Yaris,3.5
CarDekho,Yaris,4.4
CarWale,Yaris,4.4
zigwheels,Yaris,4
car and driver,Yaris,4.8
MouthShut,Yaris,3.6
US.News,Yaris,4.1
drive.com,Yaris,4.1
whatcar,Yaris,4
CarsGuide,Yaris,3.7
Edmunds,Yaris,3.7
productReview,Yaris,4.3
heycar.co.uk,Yaris,4.5
carexpert,Yaris,3.5
Parkers,Yaris,3
thecarexpert,Yaris,3
motortrend,Yaris,3.8
CarWale,City,4.3
Sidharth,City,4.5
Yash,City,4.6
zigwheels,City,4.2
Varun,City,4.4
HT auto,City,4
MouthShut,City,4.1
Spinny ,City,4
91Wheels,City,4.4
autocar,City,4
overdrive,City,4.1
carandbike,City,4.5
drive.com,City,3
drivesprak,City,4
dealerrater,City,3.9
carsales,City,4
AutoDeal,City,4.1
productReview,City,4
autoindustriya,City,4
wapcar,City,4.5
Edmunds,City,4.1
